I
1130 Generated by WorldEditor 2.3.0r2

1    180 0 0 SBFN Fernando de Noronha
1302 city Fernando De Noronha
1302 country Brazil
1302 datum_lat -3.854722222
1302 datum_lon -32.428333333
1302 faa_code 
1302 iata_code FEN
1302 icao_code SBFN
1302 region_code SB
1302 state Pernambuco
1302 transition_alt 5000
1302 transition_level 050
100 45.00 1 0 0.25 0 2 0 12 -03.85387600 -032.43134900    0    0 2 0 0 0 30 -03.85515044 -032.41477055    0    0 2 0 0 0
110 1 0.25 5.0000 New Taxiway 28
111 -03.85490982 -032.41542987
111 -03.85495562 -032.41475577
112 -03.85487407 -032.41475913 -03.85485396 -032.41476137
112 -03.85465732 -032.41495957 -03.85463609 -032.41511522
111 -03.85474439 -032.41520770
112 -03.85485611 -032.41529952 -03.85488181 -032.41532640
113 -03.85490192 -032.41544397
110 2 0.25 5.0000 New Taxiway 27
111 -03.85610553 -032.42911544
112 -03.85612428 -032.42913164 -03.85613851 -032.42913229
111 -03.85618635 -032.42913553
112 -03.85620316 -032.42911803 -03.85620510 -032.42910248
111 -03.85630372 -032.42762554
112 -03.85628001 -032.42760016 -03.85626384 -032.42760016
111 -03.85624229 -032.42759692
114 -03.85622472 -032.42761027 -03.85622310 -032.42762485
110 2 0.25 3.0000 New Taxiway 26
112 -03.85621299 -032.42758381 -03.85622696 -032.42758536
111 -03.85622929 -032.42756592
112 -03.85623472 -032.42742517 -03.85623472 -032.42740962
112 -03.85621067 -032.42740962 -03.85620912 -032.42740884
112 -03.85609274 -032.42740651 -03.85608343 -032.42740496
111 -03.85607256 -032.42742517
113 -03.85606170 -032.42757603
110 2 0.25 5.0000 New Taxiway 25
111 -03.85596520 -032.42787377
111 -03.85615464 -032.42788997
111 -03.85617550 -032.42764495
113 -03.85598606 -032.42762875
110 2 0.25 5.0000 New Taxiway 25
111 -03.85592766 -032.42827555
111 -03.85611710 -032.42829175
111 -03.85613796 -032.42804673
113 -03.85594852 -032.42803053
110 2 0.25 5.0000 New Taxiway 25
111 -03.85589683 -032.42870151
111 -03.85608627 -032.42871771
111 -03.85610712 -032.42847269
113 -03.85591769 -032.42845649
110 2 0.25 5.0000 New Taxiway 25
111 -03.85586197 -032.42912881
111 -03.85605141 -032.42914501
111 -03.85607227 -032.42890000
113 -03.85588283 -032.42888379
110 1 0.25 5.0000 New Taxiway 23
111 -03.85415676 -032.43029564
112 -03.85444361 -032.42992703 -03.85470215 -032.42976264
111 -03.85545702 -032.42924480
112 -03.85571958 -032.42916740 -03.85581032 -032.42917127
111 -03.85607867 -032.42920223
112 -03.85611435 -032.42918029 -03.85611918 -032.42915127
111 -03.85611918 -032.42915288
112 -03.85614331 -032.42913676 -03.85616101 -032.42913998
111 -03.85618675 -032.42914159
112 -03.85620766 -032.42912386 -03.85620766 -032.42910612
111 -03.85631042 -032.42762557
112 -03.85627914 -032.42759421 -03.85625679 -032.42759421
111 -03.85624450 -032.42759085
112 -03.85623557 -032.42756734 -03.85623892 -032.42755838
111 -03.85624003 -032.42741953
112 -03.85621099 -032.42740385 -03.85619199 -032.42740609
111 -03.85609032 -032.42740273
112 -03.85606351 -032.42742625 -03.85606351 -032.42744416
111 -03.85605681 -032.42756734
112 -03.85601324 -032.42758190 -03.85599201 -032.42757742
111 -03.85557638 -032.42754265
112 -03.85555484 -032.42754901 -03.85555329 -032.42755679
112 -03.85552458 -032.42756845 -03.85550286 -032.42755834
111 -03.85446547 -032.42719504
112 -03.85439397 -032.42711218 -03.85439285 -032.42706067
111 -03.85435710 -032.42710938
113 -03.85412946 -032.43028498
112 -03.85436145 -032.42748106 -03.85436511 -032.42736820
111 -03.85436145 -032.42748106
112 -03.85436145 -032.42748106 -03.85440778 -032.42736496
111 -03.85452748 -032.42742107
112 -03.85545067 -032.42774990 -03.85553638 -032.42778241
111 -03.85553731 -032.42787155
112 -03.85546318 -032.42879105 -03.85544465 -032.42900931
111 -03.85527607 -032.42914423
112 -03.85441043 -032.42972582 -03.85427748 -032.42981428
113 -03.85420607 -032.42961429
110 1 0.25 5.0000 New Taxiway 22
111 -03.85407614 -032.43136411
112 -03.85436604 -032.43112440 -03.85438666 -032.43090208
111 -03.85418222 -032.43079576
112 -03.85413299 -032.43065022 -03.85413211 -032.43057713
111 -03.85412024 -032.43063954
113 -03.85405847 -032.43135354
110 2 0.25 5.0000 New Taxiway 30
111 -03.85622735 -032.42862249
111 -03.85647175 -032.42863610
111 -03.85654592 -032.42864073
111 -03.85658293 -032.42785224
111 -03.85643491 -032.42784095
112 -03.85635635 -032.42788769 -03.85634802 -032.42795095
111 -03.85635635 -032.42788769
112 -03.85635635 -032.42788769 -03.85635126 -032.42796833
111 -03.85635126 -032.42796833
